Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Sex upon Outcome,Age upon Outcome,binary_outcome,index,intake_am_pm,intake_time,percent,domesticIndex,season,time_spend_shelter
Austin (TX),Stray,Normal,Dog,Intact Female,48,Miniature Poodle Mix,Spayed Female,48,0.0,765,PM,2016-06-18,7.6923076923076925,0.54,Quarter 2,4.0
Travis (TX),Stray,Sick,Dog,Intact Male,2,Labrador Retriever Mix,Neutered Male,2,0.0,766,PM,2015-04-20,2.0,0.10800000000000001,Quarter 1,7.0
Austin (TX),Stray,Normal,Cat,Intact Male,1,Domestic Medium Hair Mix,Intact Male,1,0.0,767,AM,2016-10-30,2.857142857142857,0.54,Quarter 3,57.0
Austin (TX),Stray,Normal,Cat,Unknown,1,others,Unknown,1,0.0,768,AM,2020-01-25,0.21691973969631237,0.36000000000000004,Quarter 1,4.0
Austin (TX),Stray,Normal,Dog,Intact Female,24,others,Spayed Female,24,0.0,769,PM,2014-04-04,0.21691973969631237,0.54,Quarter 1,41.0
Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,180,Domestic Shorthair Mix,Neutered Male,180,0.0,770,PM,2016-04-07,0.38461538461538464,1.0,Quarter 1,15.0
Austin (TX),Stray,Normal,Dog,Spayed Female,60,Miniature Poodle Mix,Spayed Female,60,0.0,771,PM,2016-02-13,7.6923076923076925,0.9,Quarter 1,2.0
Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,72,Chihuahua Shorthair Mix,Neutered Male,72,0.0,772,AM,2017-04-05,1.694915254237288,1.0,Quarter 1,3.0
Austin (TX),Owner Surrender,Normal,Other,Intact Female,36,others,Intact Female,36,0.0,773,AM,2014-08-05,0.21691973969631237,0.18,Quarter 2,1.0
Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1,German Shepherd Mix,Spayed Female,1,0.0,774,AM,2015-04-11,4.166666666666666,1.0,Quarter 1,1.0
Austin (TX),Stray,Normal,Dog,Intact Female,10,others,Spayed Female,10,0.0,775,PM,2018-02-11,0.21691973969631237,0.54,Quarter 1,4.0
Travis (TX),Stray,Normal,Dog,Intact Male,1,Labrador Retriever Mix,Intact Male,1,0.0,776,AM,2016-11-04,2.0,0.54,Quarter 3,0.0
Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,108,Domestic Shorthair Mix,Spayed Female,108,0.0,777,PM,2016-06-15,0.38461538461538464,1.0,Quarter 2,13.0
Austin (TX),Stray,Normal,Dog,Neutered Male,132,others,Neutered Male,132,0.0,778,PM,2018-01-28,0.21691973969631237,0.9,Quarter 1,5.0
Austin (TX),Stray,Normal,Dog,Intact Male,96,others,Neutered Male,96,0.0,779,AM,2015-09-29,0.21691973969631237,0.54,Quarter 3,9.0
Austin (TX),Stray,Normal,Dog,Intact Female,0,Pit Bull Mix,Intact Female,1,0.0,780,AM,2018-03-21,1.5384615384615385,0.54,Quarter 1,16.0
Austin (TX),Stray,Normal,Cat,Intact Female,1,Domestic Shorthair Mix,Intact Female,1,0.0,781,AM,2016-08-01,0.38461538461538464,0.54,Quarter 2,8.0
Manor (TX),Stray,Normal,Dog,Intact Male,1,others,Neutered Male,2,0.0,782,AM,2019-11-20,0.21691973969631237,0.54,Quarter 3,6.0
Austin (TX),Stray,Normal,Dog,Intact Male,24,others,Intact Male,24,1.0,783,PM,2014-09-15,0.21691973969631237,0.54,Quarter 3,16.0
Austin (TX),Stray,Normal,Other,Intact Male,1,others,Neutered Male,1,0.0,784,PM,2017-07-07,0.21691973969631237,0.162,Quarter 2,20.0
Manor (TX),Stray,Normal,Dog,Intact Female,24,others,Spayed Female,24,0.0,785,PM,2015-06-27,0.21691973969631237,0.54,Quarter 2,9.0
Austin (TX),Stray,Injured,Dog,Intact Male,24,Pit Bull Mix,Neutered Male,24,0.0,786,PM,2014-02-09,1.5384615384615385,0.10800000000000001,Quarter 1,12.0
Travis (TX),Owner Surrender,Normal,Cat,Intact Male,1,others,Intact Male,2,0.0,787,PM,2019-06-10,0.21691973969631237,0.6,Quarter 2,11.0
Austin (TX),Stray,Normal,Dog,Neutered Male,1,others,Neutered Male,1,0.0,788,PM,2016-05-21,0.21691973969631237,0.9,Quarter 2,4.0
Travis (TX),Stray,Normal,Cat,Intact Male,2,Domestic Shorthair Mix,Neutered Male,2,0.0,789,AM,2015-07-25,0.38461538461538464,0.54,Quarter 2,6.0
