Found Location,Intake Type,Intake Condition,Sex upon Intake,Age upon Intake,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,binary_outcome,intake_am_pm,intake_time
Austin (TX),Stray,Sick,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2018-04-30
Austin (TX),Stray,Normal,Intact Male,36,Dog,Intact Male,36,Dachshund,0.0,PM,2017-03-20
Austin (TX),Stray,Injured,Intact Male,24,Dog,Neutered Male,24,Pit Bull,0.0,AM,2018-12-03
Austin (TX),Stray,Normal,Intact Male,60,Dog,Neutered Male,60,Pit Bull,0.0,PM,2016-06-21
Austin (TX),Stray,Normal,Intact Female,4,Cat,Intact Female,4,Domestic Shorthair,0.0,AM,2014-03-20
Austin (TX),Owner Surrender,Sick,Intact Female,1,Dog,Intact Female,1,Labrador Retriever,0.0,AM,2014-06-20
Travis (TX),Stray,Nursing,Intact Male,0,Dog,Intact Male,0,Chihuahua Shorthair,0.0,AM,2016-12-11
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,1,Domestic Shorthair,0.0,PM,2015-06-03
Austin (TX),Stray,Normal,Intact Male,9,Dog,Intact Male,10,Boxer,0.0,AM,2013-10-14
Austin (TX),Wildlife,Normal,Unknown,1,Other,Unknown,1,Bat,1.0,AM,2015-03-28
Austin (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,PM,2018-05-18
Travis (TX),Owner Surrender,Injured,Intact Female,24,Other,Intact Female,24,rare,0.0,PM,2014-08-13
Austin (TX),Stray,Nursing,Intact Female,0,Cat,Spayed Female,5,Domestic Shorthair,0.0,AM,2014-02-25
Austin (TX),Stray,Normal,Intact Male,1,Cat,Neutered Male,1,Domestic Shorthair,0.0,AM,2019-07-15
Austin (TX),Owner Surrender,Normal,Intact Male,1,Dog,Neutered Male,1,Rat Terrier,0.0,PM,2014-10-25
Austin (TX),Stray,Normal,Intact Male,24,Dog,Neutered Male,24,rare_dog,0.0,PM,2017-08-31
Austin (TX),Owner Surrender,Other,Neutered Male,72,Dog,Neutered Male,72,rare_dog,0.0,PM,2019-01-16
Austin (TX),Stray,Nursing,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,AM,2019-05-02
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,Labrador Retriever,0.0,PM,2017-11-01
Austin (TX),Owner Surrender,Normal,Intact Female,36,Cat,Spayed Female,36,Domestic Medium Hair,0.0,AM,2018-01-22
Austin (TX),Owner Surrender,Normal,Spayed Female,2,Cat,Spayed Female,3,Domestic Shorthair,0.0,PM,2017-11-13
Austin (TX),Stray,Normal,Unknown,1,Cat,Unknown,1,Domestic Shorthair,0.0,PM,2014-05-13
Austin (TX),Owner Surrender,Normal,Intact Female,1,Dog,Spayed Female,1,rare_dog,0.0,PM,2015-10-25
Austin (TX),Stray,Sick,Spayed Female,1,Cat,Spayed Female,1,Domestic Shorthair,0.0,AM,2016-05-07
Austin (TX),Owner Surrender,Normal,Neutered Male,84,Cat,Neutered Male,84,Domestic Shorthair,0.0,PM,2018-06-20
Travis (TX),Stray,Normal,Intact Female,36,Dog,Spayed Female,36,rare_dog,0.0,PM,2016-09-19
Austin (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2014-09-21
Austin (TX),Stray,Normal,Intact Male,6,Dog,Neutered Male,7,rare_dog,0.0,PM,2017-05-17
Austin (TX),Owner Surrender,Normal,Spayed Female,72,Cat,Spayed Female,72,Domestic Longhair,0.0,PM,2014-10-03
Austin (TX),Stray,Normal,Intact Female,24,Dog,Spayed Female,24,Dachshund,0.0,PM,2019-06-22
Austin (TX),Owner Surrender,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2019-09-15
Austin (TX),Stray,Normal,Intact Male,6,Dog,Neutered Male,6,rare_dog,0.0,PM,2015-02-17
Austin (TX),Stray,Normal,Intact Male,1,Dog,Neutered Male,1,Catahoula,0.0,PM,2019-02-03
Travis (TX),Public Assist,Normal,Intact Female,36,Dog,Spayed Female,36,rare_dog,0.0,PM,2014-02-19
Austin (TX),Stray,Normal,Intact Female,3,Dog,Spayed Female,3,Catahoula,0.0,PM,2018-09-01
Austin (TX),Stray,Normal,Intact Female,4,Cat,Intact Female,4,Domestic Shorthair,0.0,AM,2017-08-04
Austin (TX),Stray,Injured,Intact Female,36,Dog,Spayed Female,36,Chihuahua Shorthair,0.0,PM,2014-04-11
Manor (TX),Public Assist,Normal,Intact Female,1,Bird,Intact Female,1,Chicken,0.0,PM,2018-09-04
Travis (TX),Stray,Injured,Intact Male,1,Cat,Neutered Male,1,Domestic Shorthair,0.0,AM,2016-07-23
Austin (TX),Stray,Normal,Intact Female,1,Dog,Spayed Female,1,Dachshund,0.0,PM,2020-01-17
Austin (TX),Stray,Normal,Intact Male,1,Dog,Intact Male,1,Chihuahua Shorthair,0.0,PM,2013-10-01
Austin (TX),Stray,Normal,Intact Female,5,Cat,Intact Female,5,Domestic Shorthair,0.0,PM,2019-12-13
Austin (TX),Owner Surrender,Normal,Intact Female,1,Cat,Spayed Female,1,Domestic Shorthair,0.0,AM,2018-09-30
Pflugerville (TX),Stray,Normal,Neutered Male,24,Dog,Neutered Male,24,Pit Bull,0.0,PM,2018-10-14
Austin (TX),Stray,Normal,Neutered Male,60,Dog,Neutered Male,60,Miniature Poodle,0.0,PM,2017-04-12
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,2,Domestic Shorthair,0.0,AM,2014-10-04
