Found Location,Intake Type,Intake Condition,Sex upon Intake,Age upon Intake,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,binary_outcome,intake_am_pm,intake_time,percent,domesticIndex,season,time_spend_shelter
Austin (TX),Stray,Normal,Intact Female,1,Cat,Intact Female,1,Domestic Shorthair,0.0,PM,2015-07-21,0.32786885245901637,0.54,Quarter 2,1.0
Austin (TX),Owner Surrender,Normal,Neutered Male,72,Cat,Neutered Male,72,Domestic Shorthair,0.0,PM,2020-01-09,0.7407407407407408,1.0,Quarter 1,19.0
Austin (TX),Owner Surrender,Normal,Neutered Male,72,Dog,Neutered Male,72,Chihuahua Shorthair,0.0,PM,2016-02-28,0.7407407407407408,1.0,Quarter 1,5.0
Austin (TX),Stray,Nursing,Intact Male,0,Dog,Neutered Male,1,German Shepherd,0.0,AM,2019-12-02,0.303951367781155,0.43200000000000005,Quarter 3,60.0
Austin (TX),Owner Surrender,Normal,Intact Male,1,Cat,Neutered Male,1,Domestic Shorthair,0.0,AM,2015-06-19,0.303951367781155,0.6,Quarter 2,11.0
Austin (TX),Stray,Normal,Intact Male,4,Dog,Intact Male,4,rare_dog,0.0,PM,2017-10-26,0.303951367781155,0.54,Quarter 3,2.0
Pflugerville (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2019-07-30,0.303951367781155,0.54,Quarter 2,0.0
Austin (TX),Stray,Normal,Intact Male,24,Dog,Intact Male,24,rare_dog,0.0,PM,2014-08-26,0.303951367781155,0.54,Quarter 2,10.0
Austin (TX),Stray,Normal,Intact Male,24,Dog,Intact Male,24,Cairn Terrier,0.0,PM,2014-12-16,0.303951367781155,0.54,Quarter 3,0.0
Pflugerville (TX),Owner Surrender,Normal,Neutered Male,24,Cat,Neutered Male,24,Domestic Shorthair,0.0,PM,2019-11-09,0.7407407407407408,1.0,Quarter 3,3.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2017-05-10,0.303951367781155,0.54,Quarter 2,1.0
Austin (TX),Stray,Normal,Intact Female,3,Dog,Spayed Female,3,rare_dog,0.0,PM,2018-07-03,0.32786885245901637,0.54,Quarter 2,4.0
Travis (TX),Stray,Normal,Intact Female,7,Dog,Spayed Female,8,rare_dog,0.0,PM,2019-04-03,0.32786885245901637,0.54,Quarter 1,9.0
Austin (TX),Stray,Normal,Intact Female,1,Cat,Spayed Female,2,Domestic Longhair,0.0,PM,2019-05-14,0.32786885245901637,0.54,Quarter 2,39.0
Austin (TX),Stray,Normal,Intact Male,24,Dog,Intact Male,24,rare_dog,0.0,PM,2015-10-11,0.303951367781155,0.54,Quarter 3,4.0
Jonestown (TX),Euthanasia Request,Sick,Neutered Male,192,Dog,Neutered Male,192,German Shepherd,1.0,PM,2015-10-04,0.7407407407407408,0.0,Quarter 3,0.0
Manor (TX),Stray,Normal,Intact Female,2,Cat,Spayed Female,3,Domestic Medium Hair,0.0,AM,2018-07-30,0.32786885245901637,0.54,Quarter 2,5.0
Manor (TX),Stray,Normal,Unknown,5,Cat,Unknown,5,Domestic Medium Hair,0.0,AM,2019-10-12,1.0101010101010102,0.36000000000000004,Quarter 3,4.0
Austin (TX),Stray,Normal,Intact Male,1,Cat,Intact Male,1,Domestic Shorthair,0.0,PM,2015-01-17,0.303951367781155,0.54,Quarter 1,1.0
